booking_id,owner_id,listing_id,sitter_id,service_type,booking_date,duration_hours,total_price,status
booking_1,owner_476,listing_144,sitter_71,pet_boarding,2024-01-31,5,137.5,completed
booking_2,owner_167,listing_55,sitter_76,pet_boarding,2024-06-11,3,113.43,pending
booking_3,owner_450,listing_74,sitter_22,pet_boarding,2024-08-08,7,133.49,completed
booking_4,owner_55,listing_66,sitter_34,pet_sitting,2024-07-10,2,41.36,completed
booking_5,owner_463,listing_80,sitter_40,pet_sitting,2024-10-16,4,119.12,cancelled
booking_6,owner_366,listing_140,sitter_92,pet_sitting,2024-06-09,6,215.88,cancelled
booking_7,owner_434,listing_138,sitter_17,pet_sitting,2024-04-06,7,139.86,completed
booking_8,owner_56,listing_85,sitter_77,pet_sitting,2024-06-23,7,201.39,cancelled
booking_9,owner_342,listing_81,sitter_85,pet_sitting,2024-05-31,4,102.4,completed
booking_10,owner_152,listing_32,sitter_14,pet_boarding,2024-05-28,6,119.64,completed
booking_11,owner_251,listing_59,sitter_78,pet_sitting,2024-11-08,6,118.56,pending
booking_12,owner_396,listing_111,sitter_16,pet_sitting,2024-01-06,1,36.34,cancelled
booking_13,owner_24,listing_18,sitter_81,pet_boarding,2024-06-12,3,58.71,completed
booking_14,owner_488,listing_22,sitter_27,pet_sitting,2024-07-04,3,62.1,completed
booking_15,owner_267,listing_146,sitter_88,pet_sitting,2024-11-01,6,208.68,completed
booking_16,owner_449,listing_28,sitter_84,pet_boarding,2024-09-06,4,119.52,completed
booking_17,owner_247,listing_66,sitter_34,pet_sitting,2024-07-09,1,20.68,cancelled
booking_18,owner_336,listing_75,sitter_12,pet_sitting,2024-08-26,2,52.02,completed
booking_19,owner_422,listing_137,sitter_88,pet_sitting,2024-02-02,2,66.1,cancelled
booking_20,owner_18,listing_22,sitter_27,pet_sitting,2024-10-08,2,41.4,completed
booking_21,owner_202,listing_130,sitter_91,pet_boarding,2024-01-18,4,96.92,completed
booking_22,owner_132,listing_1,sitter_72,dog_walking,2024-01-21,7,101.36,completed
booking_23,owner_273,listing_110,sitter_1,pet_boarding,2024-05-13,2,58.44,completed
booking_24,owner_248,listing_34,sitter_16,pet_sitting,2024-11-19,3,113.25,completed
booking_25,owner_248,listing_141,sitter_6,dog_walking,2024-02-14,2,31.94,completed
booking_26,owner_442,listing_104,sitter_12,pet_sitting,2024-08-13,3,113.16,completed
booking_27,owner_447,listing_82,sitter_57,pet_boarding,2024-07-23,5,168.75,cancelled
booking_28,owner_285,listing_44,sitter_80,pet_sitting,2024-11-09,1,36.17,pending
booking_29,owner_100,listing_107,sitter_72,pet_boarding,2024-05-20,7,126.42,completed
booking_30,owner_92,listing_36,sitter_8,pet_boarding,2024-01-15,2,34.9,completed
booking_31,owner_456,listing_57,sitter_34,pet_boarding,2024-03-07,5,133.7,cancelled
booking_32,owner_66,listing_68,sitter_43,pet_boarding,2024-02-10,3,82.02,completed
booking_33,owner_413,listing_49,sitter_49,pet_sitting,2024-02-23,5,180.7,completed
booking_34,owner_399,listing_132,sitter_57,dog_walking,2024-08-21,3,100.53,completed
booking_35,owner_30,listing_31,sitter_12,pet_boarding,2024-01-20,5,82.0,cancelled
booking_36,owner_137,listing_67,sitter_81,dog_walking,2024-07-28,6,222.06,completed
booking_37,owner_1,listing_21,sitter_58,pet_boarding,2024-02-17,5,67.7,cancelled
booking_38,owner_403,listing_13,sitter_93,pet_boarding,2024-04-19,6,155.34,cancelled
booking_39,owner_472,listing_97,sitter_3,pet_sitting,2024-09-04,2,50.86,completed
booking_40,owner_2,listing_114,sitter_27,dog_walking,2024-10-24,4,55.64,completed
booking_41,owner_355,listing_59,sitter_78,pet_sitting,2024-08-30,1,19.76,completed
booking_42,owner_378,listing_58,sitter_70,pet_sitting,2024-02-11,2,21.04,completed
booking_43,owner_301,listing_27,sitter_84,pet_sitting,2024-08-17,1,22.41,completed
booking_44,owner_478,listing_88,sitter_10,dog_walking,2024-11-21,2,21.26,completed
booking_45,owner_154,listing_103,sitter_97,pet_sitting,2024-01-13,7,273.77,cancelled
booking_46,owner_120,listing_14,sitter_6,dog_walking,2024-10-16,3,33.0,cancelled
booking_47,owner_96,listing_7,sitter_77,pet_sitting,2024-09-23,5,66.85,completed
booking_48,owner_77,listing_107,sitter_72,pet_boarding,2024-04-14,6,108.36,completed
booking_49,owner_487,listing_49,sitter_49,pet_sitting,2024-10-26,1,36.14,cancelled
booking_50,owner_370,listing_133,sitter_84,dog_walking,2024-07-13,6,162.66,completed
booking_51,owner_193,listing_58,sitter_70,pet_sitting,2024-10-09,3,31.56,completed
booking_52,owner_195,listing_18,sitter_81,pet_boarding,2024-09-14,2,39.14,completed
booking_53,owner_417,listing_26,sitter_62,dog_walking,2024-01-06,5,106.05,completed
booking_54,owner_448,listing_133,sitter_84,dog_walking,2024-02-13,6,162.66,completed
booking_55,owner_48,listing_28,sitter_84,pet_boarding,2024-01-03,7,209.16,completed
booking_56,owner_342,listing_94,sitter_29,pet_sitting,2024-05-06,4,117.36,cancelled
booking_57,owner_437,listing_21,sitter_58,pet_boarding,2024-12-07,4,54.16,completed
booking_58,owner_192,listing_119,sitter_18,pet_boarding,2024-03-28,1,18.37,completed
booking_59,owner_195,listing_109,sitter_53,pet_boarding,2024-09-24,5,190.35,completed
booking_60,owner_489,listing_130,sitter_91,pet_boarding,2024-02-09,3,72.69,completed
booking_61,owner_220,listing_129,sitter_100,pet_boarding,2024-11-25,3,36.0,completed
booking_62,owner_389,listing_4,sitter_49,pet_sitting,2024-03-15,7,87.15,completed
booking_63,owner_86,listing_55,sitter_76,pet_boarding,2024-10-01,4,151.24,pending
booking_64,owner_360,listing_39,sitter_52,pet_boarding,2024-08-19,7,170.17,completed
booking_65,owner_227,listing_120,sitter_40,pet_sitting,2024-05-01,1,29.67,cancelled
booking_66,owner_92,listing_3,sitter_68,dog_walking,2024-09-28,4,71.0,completed
booking_67,owner_6,listing_35,sitter_11,pet_sitting,2024-07-29,3,113.76,pending
booking_68,owner_408,listing_123,sitter_41,pet_boarding,2024-12-26,7,184.1,cancelled
booking_69,owner_7,listing_15,sitter_89,pet_sitting,2024-12-20,3,85.11,pending
booking_70,owner_67,listing_101,sitter_42,pet_sitting,2024-09-30,2,58.9,completed
booking_71,owner_86,listing_42,sitter_68,dog_walking,2024-05-07,7,222.74,completed
booking_72,owner_156,listing_17,sitter_64,pet_boarding,2024-09-24,3,41.49,completed
booking_73,owner_308,listing_23,sitter_15,pet_boarding,2024-02-20,6,194.82,completed
booking_74,owner_134,listing_80,sitter_40,pet_sitting,2024-07-08,6,178.68,completed
booking_75,owner_17,listing_95,sitter_49,dog_walking,2024-04-17,7,222.88,completed
booking_76,owner_189,listing_99,sitter_21,pet_boarding,2024-08-27,7,132.58,completed
booking_77,owner_131,listing_23,sitter_15,pet_boarding,2024-12-26,2,64.94,completed
booking_78,owner_463,listing_86,sitter_6,pet_sitting,2024-04-06,1,28.35,completed
booking_79,owner_264,listing_96,sitter_14,pet_sitting,2024-07-01,7,198.94,pending
booking_80,owner_197,listing_45,sitter_22,pet_sitting,2024-07-08,4,128.6,completed
booking_81,owner_327,listing_3,sitter_68,dog_walking,2024-06-30,6,106.5,completed
booking_82,owner_204,listing_91,sitter_6,pet_boarding,2024-01-06,5,152.15,completed
booking_83,owner_302,listing_26,sitter_62,dog_walking,2024-10-30,3,63.63,cancelled
booking_84,owner_431,listing_107,sitter_72,pet_boarding,2024-10-24,4,72.24,completed
booking_85,owner_234,listing_47,sitter_37,pet_sitting,2024-11-18,1,17.0,cancelled
booking_86,owner_251,listing_39,sitter_52,pet_boarding,2024-02-05,5,121.55,completed
booking_87,owner_75,listing_87,sitter_81,dog_walking,2024-01-01,2,51.88,completed
booking_88,owner_64,listing_57,sitter_34,pet_boarding,2024-01-11,6,160.44,completed
booking_89,owner_69,listing_137,sitter_88,pet_sitting,2024-06-17,4,132.2,completed
booking_90,owner_477,listing_88,sitter_10,dog_walking,2024-06-05,6,63.78,completed
booking_91,owner_440,listing_79,sitter_45,pet_boarding,2024-10-14,6,63.42,completed
booking_92,owner_191,listing_17,sitter_64,pet_boarding,2024-10-05,2,27.66,cancelled
booking_93,owner_25,listing_145,sitter_60,pet_sitting,2024-03-27,5,129.35,cancelled
booking_94,owner_73,listing_97,sitter_3,pet_sitting,2024-06-22,1,25.43,completed
booking_95,owner_328,listing_92,sitter_69,dog_walking,2024-01-14,1,32.24,cancelled
booking_96,owner_372,listing_105,sitter_51,dog_walking,2024-08-27,6,85.56,completed
booking_97,owner_210,listing_101,sitter_42,pet_sitting,2024-02-06,3,88.35,completed
booking_98,owner_175,listing_12,sitter_42,pet_boarding,2024-01-17,1,15.29,completed
booking_99,owner_259,listing_98,sitter_54,pet_boarding,2024-11-05,7,178.29,cancelled
booking_100,owner_32,listing_112,sitter_6,dog_walking,2024-12-12,5,99.55,completed
booking_101,owner_160,listing_144,sitter_71,pet_boarding,2024-02-27,6,165.0,completed
booking_102,owner_402,listing_46,sitter_60,pet_boarding,2024-12-29,5,63.6,completed
booking_103,owner_337,listing_136,sitter_73,dog_walking,2024-03-04,4,90.8,completed
booking_104,owner_472,listing_18,sitter_81,pet_boarding,2024-09-25,4,78.28,completed
booking_105,owner_422,listing_85,sitter_77,pet_sitting,2024-07-20,2,57.54,completed
booking_106,owner_345,listing_19,sitter_74,dog_walking,2024-06-15,4,69.04,pending
booking_107,owner_204,listing_1,sitter_72,dog_walking,2024-01-05,4,57.92,completed
booking_108,owner_232,listing_41,sitter_94,dog_walking,2024-04-04,3,33.27,completed
booking_109,owner_110,listing_149,sitter_44,dog_walking,2024-02-25,5,80.45,completed
booking_110,owner_354,listing_124,sitter_62,pet_boarding,2024-10-02,6,171.3,completed
booking_111,owner_85,listing_128,sitter_35,pet_boarding,2024-08-11,3,60.51,completed
booking_112,owner_142,listing_73,sitter_82,pet_boarding,2024-08-29,2,37.76,completed
booking_113,owner_386,listing_26,sitter_62,dog_walking,2024-12-03,2,42.42,completed
booking_114,owner_233,listing_139,sitter_89,pet_sitting,2024-08-20,2,68.12,completed
booking_115,owner_144,listing_112,sitter_6,dog_walking,2024-06-04,1,19.91,completed
booking_116,owner_171,listing_122,sitter_5,pet_sitting,2024-05-26,6,105.24,completed
booking_117,owner_468,listing_40,sitter_59,pet_boarding,2024-03-13,7,213.36,completed
booking_118,owner_224,listing_76,sitter_3,pet_sitting,2024-05-15,3,96.36,completed
