event_id,timestamp,user_id,event_type,booking_id,metadata
event_1,2024-02-17 22:24:53,owner_248,search,,Word develop police some cell record.
event_2,2024-12-07 21:26:21,sitter_63,search,,Office lead add success policy technology.
event_3,2024-02-01 13:21:02,owner_473,search,,Center kid person moment.
event_4,2024-11-28 07:33:36,owner_67,view_listing,,Probably door cold peace ten.
event_5,2024-01-18 16:46:05,owner_387,search,,Southern past cause break admit cell child compare.
event_6,2024-04-05 11:59:23,owner_87,search,,Simple impact provide section my.
event_7,2024-06-27 01:03:11,owner_400,message,,Brother everybody stay understand best similar.
event_8,2024-10-20 15:52:30,owner_245,view_listing,,News middle continue decade life behavior.
event_9,2024-03-30 07:38:37,owner_304,search,,Whose professor former garden idea camera.
event_10,2024-03-26 00:34:56,owner_484,search,,Piece guess watch.
event_11,2024-08-22 12:05:37,sitter_77,book,booking_345,Hot capital lose former against.
event_12,2024-02-23 03:28:13,owner_332,view_listing,,Usually then about contain.
event_13,2024-10-18 09:40:01,owner_213,view_listing,,Dream economic politics finally end.
event_14,2024-03-17 16:52:35,sitter_9,message,,Instead effort analysis fear its.
event_15,2024-08-16 14:35:19,owner_476,search,,Set buy green.
event_16,2024-07-16 17:48:24,owner_165,view_listing,,Exist probably present wife.
event_17,2024-05-03 16:31:45,owner_62,book,booking_641,Case year explain become money best play.
event_18,2024-03-01 23:52:56,owner_253,book,booking_42,Their too president program church mouth call.
event_19,2024-04-25 20:01:57,owner_432,view_listing,,Painting watch culture culture.
event_20,2024-02-20 20:34:13,owner_45,cancel,booking_1874,Test see second keep method.
event_21,2024-03-22 08:05:56,owner_151,view_listing,,Spend speak religious guess.
event_22,2024-08-10 17:51:17,owner_492,review,booking_512,Seat everyone in field.
event_23,2024-07-04 04:17:55,owner_287,cancel,booking_561,Suggest southern culture court involve.
event_24,2024-07-23 10:28:33,owner_269,view_listing,,He space you.
event_25,2024-07-15 17:22:13,owner_15,review,booking_1001,Need bank kind goal improve player place.
event_26,2024-03-18 05:20:06,owner_310,search,,Course four attorney lot century.
event_27,2024-08-13 16:26:28,sitter_54,cancel,booking_14,Late speak lot its character join.
event_28,2024-01-28 09:17:14,owner_240,search,,Vote event service security staff them address.
event_29,2024-06-29 17:34:48,owner_255,view_listing,,Late keep those hear wall.
event_30,2024-02-05 02:50:02,owner_67,view_listing,,Table threat daughter sea lot set.
event_31,2024-03-12 07:31:28,owner_92,view_listing,,Trip change wait coach recently.
event_32,2024-02-08 15:42:35,owner_398,book,booking_1967,Conference debate car think respond.
event_33,2024-06-03 01:29:39,owner_469,search,,Mind model why through hair.
event_34,2024-10-06 20:02:24,owner_77,view_listing,,Real describe image.
event_35,2024-04-04 10:00:50,owner_238,message,,Wall along expert foreign morning scene.
event_36,2024-03-26 19:28:03,owner_51,cancel,booking_349,Bag single popular city.
event_37,2024-01-03 15:01:50,sitter_21,book,booking_166,Visit significant picture run full bar.
event_38,2024-06-27 22:56:15,owner_463,view_listing,,Create view western particular second.
